,processed_text_gpt_lematizado
0,27
1,22
2,63
3,6
4,232
5,67
6,52
7,58
8,56
9,70
10,59
11,51
12,99
13,15
14,32
15,113
16,75
17,27
18,64
19,67
20,36
21,145
22,54
23,81
24,27
25,110
26,60
27,55
28,79
29,503
30,11
31,26
32,54
33,15
34,133
35,66
36,70
37,43
38,31
39,40
40,112
41,90
42,47
43,13
44,174
45,25
46,141
47,31
48,32
49,160
50,285
51,73
52,72
53,46
54,156
55,121
56,102
57,80
58,70
59,58
60,75
61,32
62,87
63,41
64,49
65,142
66,18
67,35
68,43
69,22
70,6
71,22
72,10
73,30
74,40
75,39
76,28
77,71
78,39
79,51
80,1
81,27
82,75
83,76
84,45
85,35
86,30
87,26
88,65
89,38
90,19
91,150
92,19
93,17
94,26
95,245
96,115
97,55
98,12
99,75
100,319
101,243
102,40
103,24
104,40
105,24
106,26
107,40
108,9
109,43
110,132
111,46
112,351
113,57
114,6
115,26
116,162
117,71
118,19
119,23
120,41
121,52
122,28
123,97
124,30
125,15
126,12
127,236
128,41
129,19
130,99
131,19
132,44
133,176
134,13
135,16
136,46
137,20
138,29
139,16
140,58
141,191
142,34
143,136
144,39
145,140
146,132
147,44
148,297
149,118
150,69
151,29
152,32
153,39
154,105
155,37
156,48
157,29
158,12
159,53
160,145
161,8
162,112
163,47
164,11
165,451
166,19
167,82
168,139
169,8
170,28
171,107
172,10
173,10
174,89
175,89
176,18
177,14
178,101
179,30
180,40
181,106
182,21
183,27
184,6
185,11
186,61
187,29
188,39
189,49
190,38
191,42
192,10
193,30
194,101
195,102
196,11
197,36
198,30
199,90
200,28
201,16
202,25
203,157
204,47
205,245
206,365
207,145
208,23
209,177
210,105
211,75
212,75
213,52
214,247
215,38
216,24
217,115
218,37
219,26
220,37
221,110
222,329
223,14
224,171
225,90
226,64
227,36
228,100
229,117
230,43
231,218
232,214
233,25
234,98
235,71
236,17
237,33
238,34
239,37
240,141
241,34
242,18
243,75
244,22
245,120
246,57
247,83
248,67
249,66
250,21
251,69
252,52
253,103
254,40
255,116
256,5
257,109
258,231
259,86
260,55
261,30
262,59
263,40
264,91
265,37
266,93
267,29
268,156
269,6
270,4
271,35
272,83
273,244
274,17
275,36
276,81
277,101
278,85
279,79
280,21
281,72
282,126
283,64
284,91
285,24
286,74
287,24
288,89
289,16
290,39
291,80
292,3
293,53
294,53
295,217
296,144
297,61
298,54
299,133
300,86
301,32
302,24
303,194
304,18
305,20
306,41
307,166
308,94
309,59
310,65
311,35
312,28
313,223
314,37
315,78
316,7
317,77
318,69
319,82
320,166
321,95
322,265
323,19
324,109
325,44
326,98
327,6
328,254
329,75
330,37
331,289
332,50
333,87
334,117
335,218
336,89
337,135
338,61
339,1
340,91
341,5
342,53
343,55
344,5
345,51
346,25
347,48
348,19
349,68
350,25
351,11
352,20
353,39
354,96
355,34
356,204
357,17
358,36
359,281
360,94
361,51
362,18
363,76
364,22
365,126
366,23
367,132
368,4
369,27
370,79
371,313
372,47
373,23
374,98
375,30
376,78
377,21
378,12
379,1
380,30
381,77
382,18
383,35
384,53
385,25
386,11
387,109
388,38
389,162
390,101
391,263
392,37
393,356
394,31
395,25
396,68
397,27
398,24
399,58
400,73
401,44
402,70
403,61
404,57
405,45
406,149
407,16
408,114
409,35
410,68
411,23
412,212
413,40
414,22
415,72
416,13
417,22
418,166
419,340
420,25
421,86
422,27
423,16
424,77
425,17
426,55
427,48
428,39
429,56
430,147
431,261
432,18
433,82
434,30
435,26
436,67
437,73
438,15
439,36
440,63
441,21
442,42
443,40
444,90
445,84
446,70
447,9
448,48
449,44
450,17
451,23
452,66
453,46
454,89
455,51
456,63
457,133
458,186
459,31
460,13
461,173
462,75
463,113
464,148
465,75
466,114
467,17
468,54
469,96
470,202
471,192
472,113
473,58
474,33
475,94
476,625
477,32
478,75
479,189
480,36
481,23
482,34
483,72
484,14
485,133
486,176
487,208
488,79
489,38
490,138
491,42
492,147
493,56
494,35
495,11
496,41
497,92
498,166
499,46
500,134
501,451
502,53
503,46
504,332
505,10
506,26
507,89
508,40
509,123
510,74
511,17
512,64
513,14
514,15
515,50
516,75
517,240
518,8
519,65
520,162
521,42
522,139
523,115
524,46
525,86
526,26
527,268
528,44
529,66
530,110
531,29
532,83
533,31
534,60
535,14
536,47
537,101
538,120
539,55
540,45
541,247
542,9
543,62
544,46
545,174
546,111
547,31
548,79
549,437
550,4
551,283
552,63
553,41
554,10
555,18
556,83
557,40
558,59
559,45
560,84
561,27
562,30
563,74
564,120
565,75
566,31
567,93
568,11
569,56
570,17
571,4
572,81
573,24
574,75
575,50
576,58
577,49
578,32
579,238
580,59
581,30
582,87
583,75
584,41
585,29
586,37
587,83
588,59
589,93
590,85
591,127
592,146
593,43
594,63
595,36
596,49
597,134
598,13
599,6
600,72
601,317
602,84
603,56
604,29
605,41
606,10
607,45
608,26
609,108
610,86
611,47
612,34
613,144
614,2
615,73
616,281
617,61
618,123
619,71
620,34
621,12
622,3
623,29
624,44
625,25
626,111
627,65
628,36
629,36
630,97
631,69
632,20
633,33
634,42
635,10
636,27
637,19
638,43
639,21
640,77
641,268
642,53
643,12
644,116
645,34
646,16
647,61
648,113
649,111
650,75
651,114
652,14
653,105
654,30
655,14
656,26
657,49
658,53
659,30
660,44
661,293
662,75
663,35
664,19
665,63
666,136
667,175
668,89
669,30
670,46
671,41
672,102
673,131
674,67
675,62
676,41
677,8
678,16
679,97
680,26
681,96
682,75
683,20
684,15
685,50
686,210
687,170
688,28
689,126
690,45
691,85
692,29
693,35
694,65
695,394
696,89
697,35
698,21
699,54
700,45
701,32
702,93
703,22
704,15
705,78
706,59
707,45
708,19
709,74
710,20
711,3
712,33
713,250
714,21
715,17
716,249
717,202
718,150
719,107
720,123
721,362
722,76
723,10
724,141
725,73
726,61
727,115
728,37
729,63
730,26
731,29
732,80
733,15
734,10
735,53
736,99
737,63
738,368
739,157
740,160
741,15
742,279
743,40
744,55
745,113
746,45
747,79
748,57
749,60
750,11
751,23
752,52
753,252
754,26
755,34
756,73
757,101
758,46
759,98
760,40
761,14
762,68
763,30
764,79
765,45
766,13
767,40
768,18
769,15
770,76
771,90
772,19
773,67
774,94
775,72
776,34
777,53
778,375
779,35
780,75
781,133
782,18
783,26
784,60
785,66
786,234
787,159
788,245
789,29
790,78
791,16
792,8
793,98
794,23
795,23
796,271
797,55
798,47
799,109
800,148
801,28
802,96
803,92
804,19
805,33
806,99
807,166
808,42
809,7
810,167
811,32
812,27
813,13
814,24
815,9
816,10
817,11
818,38
819,34
820,91
821,26
822,10
823,23
824,23
825,12
826,53
827,64
828,33
829,89
830,123
831,106
832,26
833,32
834,98
835,19
836,60
837,34
838,78
839,42
840,10
841,79
842,205
843,133
844,86
845,16
846,19
847,40
848,223
849,75
850,177
851,13
852,68
853,47
854,127
855,5
856,1
857,55
858,51
859,57
860,69
861,35
862,41
863,272
864,31
865,307
866,25
867,27
868,39
869,18
870,70
871,23
872,73
873,64
874,285
875,88
876,122
877,22
878,56
879,39
880,194
881,189
882,49
883,50
884,56
885,42
886,89
887,60
888,43
889,74
890,445
891,47
892,35
893,9
894,132
895,263
896,9
897,29
898,29
899,51
900,94
901,35
902,28
903,155
904,68
905,9
906,18
907,7
908,90
909,123
910,166
911,11
912,29
913,4
914,7
915,32
916,69
917,1
918,89
919,42
920,5
921,69
922,20
923,93
924,69
925,260
926,70
927,200
928,213
929,30
930,249
931,43
932,29
933,24
934,38
935,62
936,33
937,40
938,6
939,261
940,36
941,50
942,7
943,143
944,30
945,58
946,55
947,59
948,58
949,78
950,71
951,62
952,12
953,83
954,32
955,56
956,60
957,244
958,1
959,35
960,14
961,114
962,13
963,61
964,56
965,23
966,67
967,39
968,325
969,104
970,265
971,56
972,111
973,16
974,54
975,9
976,19
977,36
978,238
979,469
980,193
981,71
982,236
983,272
984,82
985,56
986,239
987,44
988,40
989,30
990,20
991,28
992,21
993,85
994,104
995,89
996,51
997,90
998,37
999,2
1000,201
1001,29
1002,13
1003,195
1004,37
1005,20
1006,20
1007,44
1008,125
1009,44
1010,99
1011,53
1012,52
1013,8
1014,23
1015,37
1016,85
1017,8
1018,19
1019,30
1020,54
1021,30
1022,13
1023,28
1024,36
1025,12
1026,37
1027,22
1028,36
1029,23
1030,93
1031,137
1032,26
1033,85
1034,86
1035,165
1036,5
1037,16
1038,15
1039,34
1040,22
1041,12
1042,51
1043,52
1044,323
1045,14
1046,1
1047,6
1048,44
1049,124
1050,110
1051,107
1052,11
1053,17
1054,19
1055,76
1056,35
1057,261
1058,29
1059,26
1060,84
1061,14
1062,75
1063,1
1064,52
1065,163
1066,22
1067,134
1068,66
1069,103
1070,282
